Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,1,0,0
11,2,0,0
12,2,0,0
13,2,0,1
14,2,0,2
15,2,0,3
16,2,0,4
17,2,0,5
18,2,1,7
19,2,2,7
20,2,2,8
21,2,2,8
22,2,2,7
23,3,2,6
24,3,2,5
25,3,2,4
26,3,2,4
27,3,2,4
28,4,2,5
29,4,2,6
30,4,2,6
31,4,2,8
32,4,2,8
33,4,2,10
34,4,3,10
35,4,3,10
36,4,3,9
37,4,3,9
38,4,3,9
39,5,3,9
40,5,3,10
41,5,3,8
42,5,3,8
43,5,3,8
44,5,3,9
45,6,3,9
46,6,3,10
47,6,4,10
48,6,4,12
49,6,5,13
50,6,5,13
51,6,5,12
52,6,5,12
53,7,5,11
54,7,5,11
55,7,5,12
56,7,5,13
57,7,5,14
58,7,5,13
59,8,5,11
60,8,5,11
61,8,5,11
62,8,5,13
63,8,5,13
64,8,5,14
65,8,5,13
66,8,5,13
67,8,5,12
68,9,5,13
69,9,5,13
70,9,6,14
71,9,6,13
72,9,6,13
73,10,6,12
74,10,6,12
75,10,6,13
76,10,6,15
77,10,7,16
78,10,7,16
79,10,7,17
80,10,7,16
81,10,7,16
82,10,7,17
83,10,8,18
84,10,8,18
85,10,8,18
86,11,8,18
87,11,8,18
88,12,8,16
89,12,8,16
90,12,8,16
91,12,8,17
92,12,9,19
93,12,9,20
94,12,9,21
95,12,9,22
96,12,10,24
97,12,10,24
98,12,10,22
99,12,10,22
100,12,10,22
101,12,10,21
102,12,10,21
103,13,10,21
104,13,10,21
105,13,10,21
106,13,10,21
107,14,10,21
108,14,10,21
109,14,10,22
110,14,10,24
111,14,11,26
112,14,11,26
113,14,11,27
114,14,11,27
115,14,11,27
116,14,11,27
117,14,11,27
118,15,11,27
119,15,11,26
120,15,11,26
121,15,11,25
122,15,11,26
123,15,11,26
124,15,12,28
125,15,12,29
126,15,12,30
127,15,12,31
128,15,12,32
129,15,12,32
130,15,12,32
131,15,12,31
132,16,12,30
133,16,12,30
134,16,13,30
135,16,13,31
136,17,13,31
137,17,13,32
138,17,13,32
139,17,13,34
140,17,13,36
141,17,14,37
142,17,15,38
143,17,15,39
144,17,15,38
145,17,15,38
146,17,15,38
147,17,15,38
148,17,15,39
149,18,15,38
150,18,15,38
151,18,15,37
152,19,15,36
153,19,15,36
154,19,15,37
155,19,15,38
156,19,15,39
157,19,15,40
158,19,16,41
159,19,16,42
160,19,16,41
161,19,16,41
162,20,16,40
163,20,16,39
164,20,16,39
165,20,16,38
166,21,16,37
167,21,16,38
168,21,16,38
169,21,16,40
170,21,16,40
171,21,17,42
172,21,17,43
173,21,17,43
174,21,17,43
175,21,17,43
176,21,17,43
177,21,17,41
178,22,17,41
179,22,17,41
180,22,17,39
181,23,17,39
182,23,17,39
183,23,18,41
184,23,18,41
185,23,18,43
186,23,18,43
187,23,18,44
188,23,18,45
189,23,18,44
190,23,18,44
191,24,18,43
192,24,18,43
193,24,18,43
194,24,18,42
195,25,18,41
196,25,18,41
197,25,19,41
198,25,19,43
199,25,19,44
200,25,19,45
201,25,20,47
202,25,20,47
203,25,20,46
204,25,20,46
205,26,20,45
206,26,20,45
207,26,20,45
208,26,20,46
209,26,20,45
210,27,20,44
211,27,20,44
212,27,20,44
213,27,20,46
214,27,20,46
215,27,20,48
216,27,20,48
217,27,20,48
218,28,20,47
219,28,20,46
220,28,21,47
221,28,21,47
222,28,21,46
223,28,21,46
224,29,21,45
225,29,21,45
226,29,21,46
227,29,21,47
228,29,21,48
229,29,22,49
230,29,22,48
231,29,22,48
