Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,0,1
12,1,0,1
13,1,0,1
14,1,0,1
15,1,0,2
16,1,0,2
17,2,0,3
18,2,0,3
19,2,0,4
20,2,0,5
21,2,1,6
22,2,1,7
23,2,1,7
24,2,1,7
25,2,1,6
26,3,1,5
27,3,1,5
28,3,2,6
29,3,2,6
30,3,2,6
31,3,2,5
32,3,2,5
33,3,2,5
34,3,2,5
35,3,2,6
36,4,3,6
37,4,3,6
38,4,3,6
39,4,3,5
40,4,3,5
41,4,3,4
42,5,3,4
43,5,3,4
44,5,3,5
45,5,3,5
46,5,3,6
47,5,3,6
48,5,3,6
49,5,3,5
50,5,3,5
51,5,3,4
52,6,3,4
53,6,3,5
54,6,3,4
55,6,3,4
56,6,3,4
57,6,3,3
58,7,3,3
59,7,3,3
60,7,3,4
61,7,3,5
62,7,3,5
63,7,3,6
64,7,3,5
65,7,3,5
66,7,3,4
67,7,3,4
68,7,3,4
69,8,3,4
70,8,3,4
71,8,3,4
72,8,3,3
73,8,3,3
74,8,3,2
75,9,3,3
76,9,3,3
77,9,3,4
78,9,4,5
79,9,4,5
80,9,4,5
81,9,4,6
82,9,4,6
83,9,4,5
84,9,4,5
85,9,4,5
86,9,4,5
87,9,4,5
88,10,4,5
89,10,4,5
90,10,4,5
91,10,4,4
92,10,4,4
93,11,4,4
94,11,4,5
95,11,5,5
96,11,5,6
97,11,6,7
98,11,7,8
99,11,7,8
100,11,7,8
101,11,7,8
102,11,7,8
103,12,7,6
104,12,7,6
105,12,7,6
106,12,7,5
107,12,7,5
108,12,7,5
109,12,7,5
110,12,7,5
111,13,7,5
112,13,7,6
113,13,7,6
114,13,7,8
115,13,7,8
116,13,7,8
117,13,7,8
118,13,7,8
119,13,7,8
120,13,7,8
121,13,7,8
122,13,7,8
123,14,7,8
124,14,7,8
125,14,7,7
126,14,7,7
127,14,8,8
128,14,8,8
129,14,8,10
130,14,8,10
131,14,8,11
132,15,9,11
133,15,9,12
134,15,9,12
135,15,9,11
136,15,9,11
137,15,9,11
138,15,9,11
139,15,9,11
140,16,9,11
141,16,9,12
142,16,9,12
143,16,9,12
144,16,9,12
145,16,9,12
146,16,9,12
147,16,9,12
148,17,9,10
149,17,9,10
150,17,9,10
151,17,10,11
152,17,10,12
153,17,10,12
154,17,10,11
155,17,10,10
156,17,10,10
157,17,10,10
158,17,10,10
159,18,10,11
160,18,10,11
161,18,10,11
162,18,10,10
163,18,10,10
164,18,10,10
165,18,10,10
166,18,10,10
167,19,10,10
168,19,10,10
169,19,10,10
170,19,10,12
171,19,10,12
172,19,10,12
173,19,10,12
174,19,10,11
175,19,10,11
176,19,10,11
177,19,10,11
178,19,10,11
179,19,11,11
180,19,11,12
181,19,11,12
182,19,11,13
183,19,11,14
184,19,11,14
185,20,11,14
186,20,11,14
187,20,11,15
188,20,11,15
189,20,11,16
190,20,11,16
191,20,11,16
192,20,11,18
193,20,12,18
194,20,12,20
195,20,12,20
196,20,12,20
197,20,12,19
198,20,12,18
199,20,12,18
200,20,12,17
201,21,12,17
202,21,12,17
203,21,13,17
204,21,13,18
205,21,13,18
206,21,13,19
207,21,13,19
208,21,13,19
209,21,13,20
210,22,13,20
211,22,14,21
212,22,14,21
213,22,14,21
214,22,14,21
215,22,14,21
216,22,14,21
217,22,14,20
218,22,14,20
219,22,14,20
220,23,14,19
221,23,14,19
222,23,14,18
223,23,14,17
224,24,14,16
225,24,14,16
226,24,14,17
227,24,14,17
228,24,14,19
229,24,14,19
230,24,14,19
231,24,14,19
