Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,1
6,0,0,1
7,0,0,1
8,1,0,1
9,1,0,1
10,1,0,1
11,1,0,1
12,1,0,2
13,1,0,2
14,1,0,2
15,2,0,3
16,2,1,3
17,2,1,4
18,2,1,6
19,2,1,6
20,2,1,6
21,2,1,5
22,2,1,5
23,2,1,4
24,2,1,4
25,2,1,4
26,3,1,4
27,3,1,5
28,3,1,5
29,3,1,4
30,3,1,4
31,3,1,3
32,3,2,3
33,3,2,4
34,3,2,5
35,3,2,6
36,3,2,6
37,3,2,7
38,4,2,7
39,4,2,7
40,4,2,6
41,4,2,5
42,4,2,5
43,4,2,5
44,4,2,5
45,5,2,6
46,5,2,7
47,5,2,7
48,5,2,9
49,5,2,9
50,5,2,9
51,5,2,9
52,5,2,9
53,5,2,9
54,5,3,8
55,5,3,9
56,5,3,9
57,5,3,9
58,5,3,7
59,5,3,7
60,5,3,7
61,5,3,7
62,6,3,7
63,7,3,7
64,7,3,7
65,7,3,8
66,7,3,9
67,7,3,10
68,7,3,11
69,7,5,12
70,7,5,13
71,7,6,14
72,7,6,15
73,7,6,16
74,7,6,16
75,7,6,14
76,7,6,14
77,7,6,14
78,7,6,12
79,7,6,12
80,7,6,12
81,7,6,11
82,8,6,11
83,9,6,11
84,9,6,11
85,9,6,12
86,9,6,13
87,9,6,14
88,9,6,16
89,9,6,16
90,9,6,18
91,9,6,18
92,9,6,19
93,9,6,20
94,9,6,20
95,9,6,19
96,9,6,18
97,9,6,18
98,9,6,17
99,9,6,17
100,9,6,17
101,9,6,17
102,10,6,17
103,10,6,17
104,10,6,16
105,11,6,16
106,11,6,16
107,11,6,17
108,11,7,18
109,11,7,19
110,11,7,19
111,11,8,19
112,11,8,19
113,11,9,20
114,11,9,20
115,11,9,20
116,11,9,19
117,11,9,19
118,11,9,18
119,11,9,17
120,12,9,17
121,12,9,16
122,12,9,16
123,12,9,16
124,12,9,16
125,13,9,16
126,13,9,17
127,13,9,17
128,13,9,19
129,13,9,19
130,13,9,21
131,13,9,21
132,13,9,20
133,13,9,20
134,13,9,20
135,13,9,20
136,13,9,20
137,13,9,19
138,13,9,19
139,13,9,19
140,13,9,19
141,13,9,21
142,13,9,21
143,13,9,21
144,13,10,21
145,13,10,23
146,13,10,23
147,13,10,23
148,13,10,24
149,13,10,25
150,13,10,25
151,14,10,25
152,14,10,25
153,15,10,25
154,15,10,25
155,15,10,26
156,15,11,27
157,15,11,28
158,15,11,28
159,15,11,29
160,15,11,29
161,15,11,31
162,15,11,31
163,15,11,31
164,15,11,30
165,15,11,29
166,15,11,28
167,15,11,27
168,15,11,26
169,16,11,26
170,16,11,26
171,17,11,25
172,17,12,25
173,17,12,25
174,17,13,26
175,17,13,27
176,17,13,27
177,17,13,27
178,17,13,28
179,17,13,30
180,17,13,30
181,17,13,30
182,17,13,28
183,17,13,28
184,17,13,28
185,17,13,26
186,17,13,26
187,17,13,26
188,17,13,26
189,18,13,26
190,19,13,26
191,19,13,26
192,19,13,27
193,19,13,28
194,19,13,28
195,19,13,30
196,19,14,30
197,19,14,31
198,19,14,32
199,19,14,32
200,19,14,33
201,19,14,33
202,19,14,32
203,19,14,32
204,19,14,32
205,19,14,31
206,19,14,31
207,19,14,30
208,20,14,30
209,20,14,30
210,20,15,30
211,20,15,31
212,20,15,31
213,20,15,31
214,20,15,32
215,20,15,33
216,20,15,34
217,20,16,34
218,20,16,35
219,20,16,36
220,20,16,36
221,20,16,35
222,20,16,35
223,20,16,36
224,20,16,36
225,20,16,38
226,20,16,38
227,20,16,39
228,20,16,40
229,20,16,41
230,20,16,41
231,20,16,42
