Seconds,Orders Completed,Shipments Unloaded,Storages Used
396,64,115,488
397,64,115,489
398,64,116,491
399,64,116,493
400,64,116,495
401,64,117,496
402,64,118,498
403,64,119,498
404,64,120,498
405,65,121,496
406,66,124,497
407,66,125,498
408,66,125,500
409,66,125,500
410,66,125,500
411,66,125,500
412,66,125,500
413,66,125,500
414,66,125,500
415,66,125,500
416,66,127,500
417,67,130,497
418,68,132,499
419,68,132,500
420,68,132,500
421,68,132,500
422,68,132,500
423,68,132,500
424,68,132,500
425,68,132,500
426,68,132,500
427,68,132,500
428,68,133,500
429,69,136,498
430,70,136,500
431,70,137,500
432,70,137,500
433,70,137,500
434,70,137,500
435,70,137,500
436,70,137,500
437,70,137,500
438,70,137,500
439,70,137,500
440,70,139,500
441,70,142,495
442,72,143,499
443,72,144,500
444,72,144,500
445,72,144,500
446,72,144,500
447,72,144,500
448,72,144,500
449,72,144,500
450,72,144,500
451,72,144,500
452,72,145,500
453,72,148,499
454,74,150,499
455,74,151,500
456,74,151,500
457,74,151,500
458,74,151,500
459,74,151,500
460,74,151,500
461,74,151,500
462,74,151,500
463,74,151,500
464,74,151,500
465,74,151,500
466,74,153,497
467,75,158,499
468,76,158,499
469,76,158,500
470,76,158,500
471,76,158,500
472,76,158,500
473,76,158,500
474,76,158,500
475,76,158,500
476,76,158,500
477,76,158,500
478,76,159,500
479,76,161,497
480,77,164,497
481,78,166,500
482,78,166,500
483,78,166,500
484,78,166,500
485,78,166,500
486,78,166,500
487,78,166,500
488,78,166,500
489,78,166,500
490,78,166,500
491,78,166,500
492,78,172,497
493,79,174,498
494,80,174,500
495,80,174,500
496,80,174,500
497,80,174,500
498,80,174,500
499,80,174,500
500,80,174,500
501,80,174,500
502,80,174,500
503,80,174,500
504,80,174,500
505,80,175,500
506,82,179,498
507,82,179,500
508,82,179,500
509,82,179,500
510,82,179,500
511,82,179,500
512,82,179,500
513,82,179,500
514,82,179,500
515,82,179,500
516,82,179,500
517,82,183,500
518,82,185,498
519,84,187,500
520,84,187,500
521,84,187,500
522,84,187,500
523,84,187,500
524,84,187,500
525,84,187,500
526,84,187,500
527,84,187,500
528,84,187,500
529,84,187,500
530,85,192,496
531,86,192,499
532,86,194,500
533,86,195,500
534,86,195,500
535,86,195,500
536,86,195,500
537,86,195,500
538,86,195,500
539,86,195,500
540,86,195,500
541,86,195,500
542,86,199,497
543,87,201,498
544,88,202,500
545,88,202,500
546,88,202,500
547,88,202,500
548,88,202,500
549,88,202,500
550,88,202,500
551,88,202,500
552,88,202,500
553,88,202,500
554,88,204,500
555,88,206,497
556,90,207,499
557,90,209,499
558,90,209,500
559,90,209,500
560,90,209,500
561,90,209,500
562,90,209,500
563,90,209,500
564,90,209,500
565,90,209,500
566,90,209,500
567,90,215,497
568,91,216,499
569,92,217,500
570,92,217,500
571,92,217,500
572,92,217,500
573,92,217,500
574,92,217,500
575,92,217,500
576,92,217,500
577,92,217,500
578,92,217,500
579,92,218,500
580,92,220,498
581,94,222,499
582,94,223,500
583,94,223,500
584,94,223,500
585,94,223,500
586,94,223,500
587,94,223,500
588,94,223,500
589,94,223,500
590,94,223,500
591,94,223,500
592,94,225,500
593,94,228,498
594,96,230,499
595,96,230,500
596,96,230,500
597,96,230,500
598,96,230,500
599,96,230,500
600,96,230,500
