Seconds,2,4,6,8,10,12
0,0,0,1,1,2,4
1,0,0,3,5,4,6
2,0,0,4,8,6,10
3,0,0,6,11,7,11
4,0,2,9,12,10,15
5,0,4,11,14,17,21
6,0,6,15,17,21,24
7,0,6,17,19,24,27
8,0,8,19,21,24,32
9,2,12,22,24,32,36
10,2,14,24,28,34,39
11,3,17,27,32,38,44
12,5,18,27,34,41,48
13,6,21,30,35,41,48
14,7,24,29,38,42,48
15,7,25,31,39,43,51
16,8,27,32,41,45,55
17,8,27,34,45,47,60
18,9,27,38,49,53,64
19,10,27,39,51,56,66
20,11,25,42,54,59,66
21,12,25,44,55,62,71
22,12,26,46,55,66,75
23,12,27,50,56,68,80
24,13,30,51,57,74,83
25,13,31,54,58,76,82
26,15,33,54,59,78,84
27,15,35,50,62,79,84
28,15,37,50,65,78,84
29,15,39,51,66,78,89
30,15,40,54,67,82,91
31,14,41,56,70,88,97
32,13,41,58,75,89,100
33,13,40,61,75,92,102
34,13,39,63,77,95,107
35,13,38,65,79,98,111
36,14,40,67,80,100,112
37,14,41,70,82,104,114
38,16,43,70,83,107,114
39,16,45,71,87,106,114
40,18,46,71,87,108,116
41,18,49,69,88,108,118
42,16,49,69,89,109,122
43,16,53,71,94,113,125
44,16,53,74,94,117,129
45,16,54,75,98,119,132
46,17,54,77,100,123,135
47,18,53,78,101,125,139
48,18,52,80,103,127,142
49,18,52,84,103,129,145
50,18,52,85,105,134,146
51,19,52,88,105,134,150
52,20,53,88,110,136,150
53,20,55,88,110,137,151
54,21,57,87,111,137,152
55,22,59,87,112,139,155
56,23,61,88,114,140,158
57,23,63,92,118,143,164
58,23,63,93,121,146,166
59,23,63,95,122,150,167
60,23,63,96,123,152,172
61,23,64,99,123,155,175
62,25,64,101,127,157,175
63,25,66,103,127,160,177
64,25,66,104,127,162,180
65,25,65,105,130,163,180
66,25,65,104,131,162,181
67,25,67,103,131,162,182
68,26,68,103,133,163,183
69,28,70,104,136,167,188
70,28,71,109,138,168,194
71,28,72,109,140,172,195
72,28,73,110,140,175,198
73,28,72,114,145,177,201
74,27,72,115,146,177,204
75,27,74,117,146,178,204
76,28,75,117,149,183,204
77,28,75,119,150,184,206
78,29,75,118,152,186,207
79,30,75,118,153,185,210
80,30,75,117,155,186,211
81,30,76,117,155,187,215
82,31,78,119,155,189,217
83,31,78,121,155,194,220
84,33,79,124,161,195,223
85,34,80,125,163,198,226
86,35,80,127,164,201,227
87,36,80,128,165,203,229
88,37,80,129,166,206,229
89,38,83,130,167,208,232
90,38,83,131,170,210,234
91,40,84,131,170,211,234
92,40,87,129,172,211,234
93,41,87,130,173,212,234
94,41,84,132,175,212,238
95,41,84,135,176,213,241
96,42,85,135,177,215,245
97,42,87,138,178,217,246
98,42,89,140,182,220,249
99,42,89,141,183,222,250
100,42,91,142,183,223,253
101,42,91,144,184,227,255
102,42,90,146,186,229,255
103,43,90,143,188,232,257
104,43,90,143,190,233,258
105,44,92,142,190,232,258
106,45,93,142,192,233,259
107,46,93,144,193,234,259
108,47,91,146,194,235,266
109,48,91,148,195,236,268
110,49,93,149,198,239,269
111,50,94,151,200,242,272
112,50,95,154,202,247,274
113,50,96,155,202,248,277
114,50,97,156,203,248,279
115,49,97,156,203,251,279
116,49,97,156,203,253,279
117,48,97,156,205,254,280
118,49,99,156,206,256,284
119,49,100,156,208,256,285
120,51,100,157,210,257,286
121,51,98,161,211,257,290
122,51,99,161,212,259,292
123,52,99,162,215,262,294
124,53,101,166,217,264,297
125,53,102,166,218,267,299
126,55,103,167,218,267,300
127,55,105,168,219,270,302
128,56,105,168,221,272,303
129,57,106,169,221,274,305
130,55,107,168,222,276,305
131,55,105,168,224,275,307
132,55,106,169,224,276,309
133,56,106,169,225,277,311
134,58,105,171,227,278,315
135,58,106,172,228,280,318
136,59,106,174,231,280,319
137,59,107,176,232,282,322
138,60,109,179,232,287,323
139,60,110,179,234,289,327
140,61,111,180,235,289,327
141,62,113,184,236,291,330
142,62,114,184,237,294,330
143,62,115,182,237,296,331
144,63,114,181,240,293,333
145,64,114,181,241,294,333
146,64,114,180,242,296,335
147,64,115,180,244,297,339
148,66,115,180,246,299,342
149,66,115,181,246,301,344
150,68,116,185,247,303,345
151,68,116,186,250,305,346
152,69,118,188,251,305,348
153,70,119,188,252,306,348
154,70,120,191,252,308,349
155,70,121,192,252,309,351
156,71,121,192,254,308,354
157,72,122,193,255,310,356
158,72,121,193,258,310,356
159,71,121,191,258,314,359
160,71,121,192,259,315,360
161,71,121,194,260,317,365
162,72,121,196,262,320,366
163,72,121,198,263,321,366
164,73,121,200,265,322,367
165,73,123,201,265,323,367
166,73,125,202,268,325,368
167,74,125,203,268,327,370
168,75,129,205,268,327,373
169,75,129,205,269,327,375
170,76,129,206,272,328,375
171,77,131,205,271,331,375
172,77,130,203,272,331,375
173,78,130,204,273,334,381
174,79,130,205,274,336,384
175,79,130,206,274,336,384
176,80,131,209,275,340,387
177,81,131,211,278,340,388
178,81,131,211,280,342,390
179,82,132,212,280,344,391
180,82,133,214,282,345,391
181,82,134,215,284,345,392
182,83,135,216,286,345,396
183,83,136,216,287,346,396
184,84,136,216,287,348,398
185,84,136,216,287,349,399
186,86,137,217,291,350,401
187,86,136,217,291,350,405
188,87,137,218,291,352,406
189,87,138,220,291,356,408
190,89,138,223,293,356,408
191,89,138,223,296,357,410
192,89,138,224,297,358,410
193,90,138,225,297,358,412
194,91,139,227,298,358,412
195,91,141,228,298,360,415
196,93,142,228,299,362,417
197,93,143,225,298,362,417
198,93,144,225,300,363,417
199,94,144,225,302,363,418
200,95,145,226,303,367,421
201,95,145,228,304,368,424
202,95,144,229,304,373,427
203,97,144,232,305,373,428
204,97,145,232,307,374,429
205,98,145,232,311,375,430
206,99,145,234,311,376,428
207,99,145,235,310,374,429
208,99,146,238,311,377,432
209,99,147,238,311,377,435
210,101,149,237,310,379,436
211,101,149,236,313,381,436
212,101,151,235,314,384,437
213,103,151,235,315,386,440
214,103,151,237,317,388,443
215,103,152,237,318,388,445
216,104,152,238,321,388,446
217,105,152,240,322,390,446
218,105,153,241,322,392,446
219,105,154,243,323,394,445
220,105,153,243,324,393,447
221,105,153,244,326,393,451
222,106,154,245,327,395,451
223,106,155,245,328,395,455
224,107,157,246,327,395,456
225,108,157,245,327,395,456
226,108,159,245,330,398,457
227,108,158,247,331,399,460
228,109,158,248,332,401,463
229,110,159,249,333,405,463
230,111,159,250,336,405,467
231,110,159,253,338,406,468
232,110,159,254,338,406,467
233,109,160,255,338,407,467
234,108,160,255,339,406,468
235,107,160,256,342,409,469
236,106,161,257,342,409,472
237,106,162,257,342,411,472
238,106,164,255,342,413,472
239,108,165,256,346,414,472
240,109,166,256,346,416,476
241,110,165,256,346,417,478
242,110,165,259,347,421,480
243,110,165,260,347,422,481
244,112,165,261,349,423,483
245,111,168,263,352,422,482
246,111,169,264,352,424,483
247,110,167,266,353,423,485
248,110,166,265,353,422,485
249,108,166,266,353,425,488
