Seconds,2,4,6,8,10,12
0,1,1,3,4,4,3
1,2,3,5,8,7,7
2,2,4,6,8,7,10
3,3,4,6,9,9,11
4,4,6,8,9,12,11
5,4,7,9,11,12,16
6,4,7,10,12,17,18
7,5,9,12,14,20,20
8,6,11,12,15,22,22
9,6,11,14,17,24,26
10,7,12,17,19,27,30
11,8,12,17,23,29,33
12,9,13,20,25,32,35
13,9,14,21,28,35,38
14,10,16,23,30,38,42
15,11,18,26,32,39,44
16,11,20,26,32,41,44
17,11,20,27,32,42,44
18,12,22,29,33,43,46
19,12,22,27,34,45,47
20,12,22,28,38,46,52
21,12,23,30,40,48,52
22,13,24,30,42,50,57
23,14,25,32,44,53,59
24,14,25,32,45,55,61
25,15,26,34,48,57,63
26,16,25,37,51,57,64
27,16,27,38,52,61,68
28,18,28,40,53,62,68
29,18,29,42,55,63,68
30,18,30,43,56,64,69
31,19,32,44,53,64,71
32,19,32,45,55,65,72
33,20,33,46,55,66,76
34,21,34,45,57,70,77
35,21,34,46,58,71,78
36,22,34,47,61,74,82
37,23,35,47,62,75,84
38,23,35,48,63,77,85
39,24,35,49,65,79,89
40,25,36,50,66,79,91
41,25,36,52,69,80,91
42,26,37,53,69,80,91
43,26,38,53,69,82,92
44,27,39,55,69,83,91
45,27,40,56,69,85,94
46,28,41,57,71,85,96
47,28,42,57,71,88,98
48,29,42,58,73,90,98
49,29,44,58,75,90,104
50,29,44,58,77,91,104
51,30,45,58,78,94,106
52,31,46,59,80,95,110
53,31,45,61,82,95,110
54,31,46,62,82,97,111
55,32,45,63,82,97,109
56,32,45,65,83,99,110
57,33,46,66,81,102,113
58,33,45,68,82,100,114
59,34,47,68,85,102,117
60,34,47,67,85,103,118
61,35,49,68,88,106,120
62,35,49,70,89,107,122
63,36,50,70,90,110,124
64,36,50,70,93,110,126
65,37,51,71,93,111,127
66,37,52,72,95,113,128
67,38,53,73,95,113,127
68,38,54,75,94,114,129
69,39,54,76,94,116,130
70,39,54,77,95,118,131
71,40,54,78,96,117,135
72,40,53,78,98,118,136
73,40,53,77,99,119,136
74,41,53,79,101,122,139
75,41,55,80,102,123,141
76,41,56,78,103,124,142
77,42,56,80,105,125,144
78,42,58,80,105,129,144
79,43,58,82,104,129,143
80,43,60,83,105,130,145
81,44,60,85,104,131,148
82,44,61,86,105,133,148
83,45,61,86,107,133,149
84,45,61,85,108,134,152
85,45,62,86,109,135,154
86,45,62,86,111,135,154
87,44,62,86,112,138,156
88,45,62,86,114,140,159
89,45,62,87,115,140,159
90,46,61,89,115,141,157
91,46,63,90,115,143,157
92,47,63,91,115,143,159
93,48,63,92,114,144,159
94,49,65,92,116,147,163
95,49,65,94,117,148,164
96,49,66,93,119,148,165
97,49,68,93,120,149,168
98,49,68,93,121,150,170
99,49,69,95,122,152,171
100,49,70,93,124,154,173
101,49,70,96,125,156,173
102,50,70,96,125,157,174
103,50,70,96,126,158,174
104,51,70,99,127,157,174
105,51,70,99,127,159,176
106,51,70,100,127,159,178
107,52,70,100,127,159,178
108,51,71,99,127,160,179
109,52,72,100,129,161,181
110,52,72,101,130,163,184
111,52,73,101,133,165,185
112,52,74,101,134,165,188
113,52,74,102,134,168,187
114,52,76,103,135,170,186
115,52,77,103,135,170,187
116,52,77,104,135,169,187
117,53,78,105,134,171,189
118,53,79,107,136,172,191
119,53,79,108,136,172,192
120,54,79,106,137,172,194
121,54,80,108,139,175,196
122,54,80,109,140,177,198
123,54,79,109,141,177,199
124,55,79,108,143,177,201
125,55,79,108,143,178,201
126,56,79,109,143,181,201
127,56,79,111,143,180,201
128,56,81,112,143,180,200
129,56,82,113,143,181,202
130,56,83,115,144,182,205
131,56,84,116,146,182,206
132,56,85,114,147,182,207
133,56,85,115,147,184,208
134,56,85,115,148,185,210
135,56,85,116,150,187,211
136,56,85,114,150,190,213
137,57,84,115,152,191,213
138,57,84,115,152,191,215
139,58,84,117,151,190,214
140,58,84,118,151,193,216
141,58,86,118,152,193,217
142,59,87,120,152,191,219
143,59,88,120,153,194,222
144,59,89,121,155,194,222
145,58,90,120,156,195,222
146,59,90,123,157,195,223
147,59,91,123,157,197,226
148,59,91,121,158,199,226
149,60,91,123,159,200,225
150,60,91,123,161,200,228
151,60,90,123,162,200,228
152,60,90,126,161,201,230
153,61,90,126,159,201,231
154,61,91,128,159,200,232
155,62,91,128,160,202,232
156,62,93,130,162,203,234
157,62,93,128,163,205,236
158,63,94,128,165,206,237
159,63,95,129,166,208,238
160,64,95,129,166,209,238
161,64,96,129,167,210,239
162,64,97,129,169,209,240
163,64,96,130,170,209,243
164,65,97,132,171,210,241
165,65,97,132,167,209,242
166,66,96,134,169,210,244
167,66,95,135,169,211,247
168,66,95,135,171,212,248
169,67,96,134,171,213,249
170,67,97,135,173,214,249
171,68,98,135,173,216,250
172,68,100,135,175,218,251
173,68,101,134,177,218,251
174,68,101,135,177,217,252
175,69,103,135,179,217,251
176,69,103,138,178,219,251
177,69,102,138,179,219,254
178,70,103,138,177,221,256
179,70,102,138,176,222,257
180,70,102,140,180,223,257
181,71,102,141,180,225,259
182,71,101,141,181,226,262
183,71,102,141,183,227,263
184,72,103,141,184,227,263
185,72,104,142,186,229,265
186,73,104,141,188,229,265
187,73,106,141,188,228,264
188,74,106,143,186,228,264
189,75,107,144,186,229,265
190,75,108,144,187,229,266
191,76,107,146,188,232,267
192,76,107,146,188,234,269
193,75,107,147,187,234,270
194,76,106,149,189,235,273
195,76,106,149,190,239,274
196,75,106,149,192,240,276
197,76,107,149,193,240,277
198,76,109,149,194,240,277
199,77,109,149,195,239,275
200,77,110,149,193,241,276
201,77,111,151,194,241,277
202,77,111,151,195,243,280
203,78,111,151,197,244,280
204,79,112,152,197,244,281
205,79,111,152,196,245,285
206,79,111,154,198,246,286
207,79,112,155,199,246,287
208,79,111,156,200,248,288
209,79,110,154,200,250,289
210,79,110,155,202,250,288
211,79,111,155,201,251,286
212,78,111,156,202,249,290
213,78,111,156,204,250,291
214,78,113,155,204,250,294
215,79,113,158,205,251,294
216,79,114,158,205,253,294
217,80,115,159,205,253,295
218,80,115,160,207,255,298
219,80,115,160,208,256,299
220,80,115,161,209,257,300
221,81,114,160,210,259,298
222,81,114,161,210,259,298
223,81,115,161,208,260,299
224,81,115,162,211,260,300
225,81,115,163,211,259,301
226,81,115,162,212,260,301
227,80,116,162,213,260,302
228,81,117,162,213,262,304
229,80,117,164,212,264,306
230,81,118,165,213,266,309
231,81,119,165,214,266,309
232,82,119,165,216,267,309
233,82,118,165,216,268,310
234,82,118,166,215,269,309
235,82,118,167,216,270,310
236,83,118,168,218,272,313
237,83,117,169,218,273,314
238,84,118,169,219,269,314
239,84,118,169,221,270,315
240,85,119,168,219,273,317
241,85,119,169,222,273,318
242,85,121,169,222,273,319
243,84,121,172,224,274,320
244,85,122,172,225,276,321
245,84,123,171,226,278,322
246,85,123,172,224,278,318
247,85,122,172,226,279,320
248,85,123,173,227,279,321
249,86,122,174,227,280,323
250,86,123,174,227,281,323
251,86,122,177,228,281,327
252,87,124,176,228,281,327
253,87,124,175,230,281,328
254,87,124,176,231,283,329
255,87,125,177,231,284,330
256,87,126,178,232,285,330
257,87,126,179,235,287,330
258,87,127,180,235,288,330
259,86,126,178,235,289,332
260,86,126,177,235,289,332
261,86,126,179,235,291,335
262,86,126,180,237,292,336
263,86,125,181,237,291,338
264,87,125,181,237,291,338
265,87,126,180,238,292,339
266,87,127,181,239,293,339
267,88,128,182,240,296,342
268,88,128,183,240,297,343
269,88,128,183,242,298,342
270,89,129,185,243,299,340
271,89,130,185,241,299,342
