Seconds,2,4,6,8,10,12
0,0,0,1,1,3,4
1,0,0,2,3,4,8
2,0,0,2,4,7,13
3,0,0,2,5,8,14
4,0,0,2,6,8,14
5,1,2,5,11,10,17
6,1,2,8,13,12,21
7,1,4,11,14,14,24
8,1,5,12,20,18,27
9,1,6,12,23,25,30
10,1,9,14,28,28,32
11,2,10,18,30,29,40
12,3,12,20,34,32,42
13,3,14,23,34,35,45
14,5,12,25,34,36,46
15,6,11,26,34,34,50
16,7,12,25,33,30,58
17,8,13,24,33,30,58
18,9,13,23,35,34,63
19,9,13,23,38,35,61
20,8,13,26,40,41,60
21,8,14,27,42,44,60
22,8,14,30,47,46,60
23,8,17,34,48,52,65
24,8,19,35,49,54,67
25,8,22,36,53,56,74
26,8,22,41,55,60,75
27,8,23,41,56,63,79
28,9,25,44,56,64,83
29,10,25,47,56,63,84
30,11,23,46,55,62,88
31,13,23,45,54,64,91
32,14,21,43,54,65,91
33,15,20,41,54,67,91
34,16,20,41,57,70,90
35,17,21,41,60,73,91
36,18,24,44,64,73,93
37,18,25,46,66,79,94
38,16,27,47,68,82,101
39,16,29,49,69,84,103
40,16,31,51,73,84,105
41,15,32,51,74,85,109
42,14,33,57,76,91,111
43,14,33,57,76,91,115
44,13,32,58,74,90,116
45,12,30,58,73,90,117
46,12,29,59,71,89,119
47,12,28,58,71,90,117
48,12,28,56,74,92,116
49,13,31,55,76,93,117
50,14,31,57,79,98,119
51,15,35,58,82,98,121
52,17,35,60,84,101,124
53,17,37,62,84,103,129
54,17,39,64,88,105,131
55,16,40,66,89,108,132
56,15,41,67,92,110,134
57,15,41,70,93,109,134
58,15,40,72,93,108,140
59,14,38,74,92,109,144
60,14,37,74,90,110,144
61,14,36,73,91,112,141
62,13,36,73,91,114,141
63,12,39,73,93,118,144
64,12,39,72,96,120,144
65,12,41,73,97,122,148
66,12,43,73,99,122,150
67,13,44,75,100,128,150
68,14,45,79,101,129,153
69,15,47,80,105,129,156
70,16,48,80,108,127,161
71,17,48,81,109,126,163
72,16,48,84,106,127,164
73,16,48,84,105,128,165
74,15,47,87,103,130,165
75,15,46,88,104,135,166
76,14,45,88,105,136,167
77,14,44,88,109,138,168
78,13,44,85,111,139,169
79,13,44,84,113,140,171
80,13,46,85,115,144,174
81,14,48,86,116,148,178
82,15,50,90,118,148,179
83,15,51,91,120,147,181
84,15,52,92,121,145,182
85,16,54,92,122,144,186
86,16,54,95,122,145,189
87,16,54,96,120,145,191
