Seconds,2,4,6,8,10,12
0,0,0,0,0,0,0
1,0,0,2,3,4,5
2,0,0,2,3,5,6
3,0,0,2,3,6,8
4,0,0,2,3,6,8
5,1,1,6,7,8,10
6,1,2,6,10,12,12
7,1,3,9,11,12,12
8,1,3,12,14,16,16
9,1,4,12,16,18,24
10,1,7,12,20,22,26
11,1,7,16,23,26,30
12,2,7,18,26,29,35
13,2,9,20,26,29,37
14,2,11,19,25,24,35
15,3,11,16,28,27,38
16,3,11,14,29,28,38
17,4,12,14,29,32,41
18,6,12,15,27,37,47
19,6,13,18,27,39,50
20,6,13,21,29,39,54
21,5,14,24,31,46,58
22,5,15,26,37,48,62
23,4,16,28,37,50,65
24,4,18,31,39,53,68
25,4,18,33,44,54,71
26,4,21,35,44,54,71
27,5,21,35,43,53,72
28,5,23,32,45,55,72
29,4,23,31,47,57,72
30,4,21,30,46,60,73
31,3,21,31,49,63,79
32,3,21,34,49,68,81
33,4,22,36,50,70,84
34,5,23,39,53,73,85
35,6,25,42,57,78,91
36,6,25,43,59,80,92
37,7,27,46,62,81,94
38,7,28,47,63,83,98
39,7,30,49,65,83,100
40,6,31,50,66,85,101
41,5,31,49,65,85,102
42,5,29,49,66,85,102
43,5,29,48,64,86,102
44,5,29,47,64,88,103
45,6,29,47,66,90,106
46,7,30,50,69,95,108
47,7,31,51,73,96,109
48,9,32,54,74,100,116
49,9,33,56,77,102,118
50,9,34,57,80,106,120
51,9,35,60,82,108,124
52,9,36,62,84,109,125
53,9,37,66,86,109,127
54,8,38,66,86,110,127
55,9,38,65,83,111,126
56,9,37,61,82,110,129
57,9,37,61,81,111,129
58,7,36,60,81,113,131
59,7,39,60,82,114,133
60,7,40,65,85,115,139
61,7,42,65,87,118,141
62,7,42,67,90,121,143
63,7,42,68,91,123,144
64,7,41,69,93,126,146
65,8,41,71,98,130,150
66,9,42,72,100,131,151
67,10,43,76,101,130,151
68,11,45,76,99,131,151
69,12,46,74,97,129,151
70,13,45,73,96,128,153
71,14,44,70,97,129,156
72,15,43,70,98,130,158
73,16,43,71,103,133,161
74,16,46,72,104,136,162
75,14,49,74,107,140,166
76,14,49,77,110,140,169
77,14,50,78,111,141,172
78,12,49,79,113,142,174
79,12,49,80,115,145,172
80,12,48,84,115,147,173
81,11,48,85,116,147,172
82,11,49,84,116,145,176
83,11,49,82,116,145,176
84,11,49,81,116,145,176
85,12,49,80,116,146,180
86,13,49,81,116,150,187
87,14,51,84,118,155,187
88,16,52,85,120,156,188
89,16,54,87,124,158,191
90,18,55,88,125,162,194
91,18,55,89,126,162,200
92,19,54,92,129,163,199
